feature,S1,S1_conf,ST,ST_conf
顶煤粒径,0.7279994977817009,0.10774089630881847,0.877517641030693,0.1414901676033763
煤层厚度,0.011602134727773035,0.01244365514737722,0.01205708918526187,0.005311967461040653
煤层倾角,-0.0002653533942285603,0.0065474696552361225,0.0020189829682636154,0.0010663465911725503
放煤步距,0.00030821417892582285,0.0011932441919447034,0.00014175283263710055,0.00011748432180664755
放煤顺序,0.00019416835889960387,0.00043575024744795795,2.464491018135064e-05,2.042679722982279e-05
放煤口长度,0.10620260153987414,0.06507096946044628,0.2790498830376327,0.050694036923954716
刮板输送机速度,0.011753010837921492,0.015580582964965096,0.01166433263887669,0.005276284811746942
