feature,S1,S1_conf,ST,ST_conf
顶煤粒径,0.34991263104463244,0.12887888401192285,0.3965918758001745,0.1260833284482763
煤层厚度,0.1308735570519655,0.1617887388475056,0.5033038775648783,0.1663207110886854
煤层倾角,0.6029423865133677,0.1575934335112159,0.7217951071918635,0.1920436546460787
放煤步距,0.24214398144450813,0.15160214209457284,0.5186944195424082,0.15026832709000584
放煤顺序,0.6123080470660291,0.17317370559775502,0.8805512387068332,0.1783617561002042
放煤口长度,0.3303168517275232,0.18791539229119247,0.7673290177142174,0.16928251414065212
刮板输送机速度,0.39658525454946286,0.19089284713847232,0.9645239184571343,0.18898999486885595
