feature,S1,S1_conf,ST,ST_conf
顶煤粒径,0.3540567127175346,0.05875968584735794,0.39331183678936255,0.05167310127383772
煤层厚度,0.1240093799546753,0.07696046921969871,0.48868903137812547,0.06909506071217374
煤层倾角,0.6018551093186201,0.07554694314427134,0.7332600709663122,0.0962687762058392
放煤步距,0.2445451283895087,0.0712209196337749,0.5027961821846572,0.0661802428644881
放煤顺序,0.5845486526228572,0.09542140085495988,0.8871066415194189,0.08224396244445863
放煤口长度,0.32126241906375413,0.09053190636054861,0.7588680271402531,0.08457142592542935
刮板输送机速度,0.38569398292907037,0.10436752367998803,0.9566680951731261,0.09026209442222144
