feature,S1,S1_conf,ST,ST_conf
顶煤粒径,0.35907398440515387,0.09563929504767946,0.38979193683362595,0.08243329074834851
煤层厚度,0.12433667993829876,0.1129898098933723,0.4920920228544018,0.09939460908417798
煤层倾角,0.6055718783284931,0.11334968734742572,0.7375797788761298,0.13482806504510633
放煤步距,0.2510081126245562,0.10842131927274483,0.49684313681583286,0.1127676883831498
放煤顺序,0.5813715777747825,0.1456639246614844,0.8836251907420676,0.14963873990910956
放煤口长度,0.32912015286314383,0.13453464994613804,0.7638723592468744,0.12242034534776203
刮板输送机速度,0.37786595953633567,0.156643596388645,0.9612996782487575,0.1459516840248083
