feature,S1,S1_conf,ST,ST_conf
顶煤粒径,0.7979714370248395,0.0707042440898236,0.9056635827895062,0.09800570766222332
煤层厚度,-0.004305712953254513,0.007994739258383511,0.00860484663345241,0.0023540555297447774
煤层倾角,0.0011655689863137872,0.004302144610142717,0.0023186423422972024,0.0006365303511491785
放煤步距,2.5097328548476782e-05,0.0008614795125177195,0.00010704291743083781,5.124856075702952e-05
放煤顺序,-0.00011609709107470696,0.0003833923709007606,2.3139508812824488e-05,8.438606130565544e-06
放煤口长度,0.07436186966128903,0.042682078256318895,0.18073147408503057,0.023677973456163137
刮板输送机速度,0.004953250352825981,0.010146473388931529,0.010763947270406131,0.0033493522145884185
