feature,S1,S1_conf,ST,ST_conf
顶煤粒径,0.2837510982098393,0.07057363840476855,0.36803965854898185,0.052397520125818935
煤层厚度,0.044764064738744225,0.09275552985405501,0.5308156987279836,0.07107451091267633
煤层倾角,0.5591007049365597,0.08492009180640755,0.7951518612607171,0.09588816998665739
放煤步距,0.2267402296825999,0.08124943423392,0.5410010592722442,0.07012278850509833
放煤顺序,0.5054348373762891,0.09645156303359688,0.8963900841899772,0.08716319075516397
放煤口长度,0.1923839977462294,0.110120643189119,0.7975460778706845,0.09146773595290515
刮板输送机速度,0.3129332831256233,0.1147480347551631,1.0124164368095727,0.10284812833772197
